"","Judge.Identification.Number","Judge.Last.Name","Judge.First.Name","Judge.Middle.Name","Birth.year","Place.of.Birth..City.","Place.of.Birth..State.","Gender","Race.or.Ethnicity","Name.of.School","place","name","decade","lon","lat"
"29",97,"Barksdale","Alfred","Dickinson",1892,"Houston (now Halifax)","VA","M","White","Virginia Military Institute","Houston (now Halifax), VA","Barksdale, Alfred",1890,-78.9283441,36.7659709
"30",103,"Barnes","John","Peter",1881,"Beaver County","PA","M","White","Geneva College","Beaver County, PA","Barnes, John",1880,-80.365865,40.6367812
"31",110,"Bartels","John","Ries",1897,"Baltimore","MD","M","White","Johns Hopkins University","Baltimore, MD","Bartels, John",1890,-76.6121893,39.2903848
"32",115,"Bastian","Walter","Maximillian",1891,"Washington","DC","M","White","Georgetown College Law School (now Georgetown University Law Center)","Washington, DC","Bastian, Walter",1890,-77.0368707,38.9071923
"33",121,"Batts","Robert","Lynn",1864,"Bastrop","TX","M","White","University of Texas School of Law","Bastrop, TX","Batts, Robert",1860,-97.3152701,30.1104947
"34",128,"Bean","Robert","Sharp",1854,"Yamhill County","OR","M","White","Christian College (now Western Oregon State University)","Yamhill County, OR","Bean, Robert",1850,-123.2395303,45.1771983
"35",129,"Beattie","Charlton","Reid",1869,"Assumption Parish","LA","M","White","University of Virginia","Assumption Parish, LA","Beattie, Charlton",1860,-91.09694,29.9232544
"36",133,"Beaumont","Campbell","Eben",1883,"Mayfield","KY","M","White","Cumberland School of Law","Mayfield, KY","Beaumont, Campbell",1880,-88.6367154,36.7417235
"37",135,"Beck","Axel","John",1894," ","Sweden","M","White","Morningside College"," , Sweden","Beck, Axel",1890,18.643501,60.128161
"38",147,"Bell","Robert","Cook",1880,"Harrisonville","MO","M","White","University of Missouri School of Law","Harrisonville, MO","Bell, Robert",1880,-94.3488372,38.6533445
"39",163,"Bethea","Solomon","Hicks",1852,"Lee County","IL","M","White","Read law","Lee County, IL","Bethea, Solomon",1850,-89.3226954,41.6789842
"40",166,"Biddle","Francis"," ",1886,"Paris","France","M","White","Harvard University","Paris, France","Biddle, Francis",1880,2.3522219,48.856614
"41",170,"Biggs","John"," ",1895,"Wilmington","DE","M","White","Princeton University","Wilmington, DE","Biggs, John",1890,-75.5397878,39.7390721
"42",175,"Bingham","George","Hutchins",1864,"Littleton","NH","M","White","Dartmouth College","Littleton, NH","Bingham, George",1860,-71.7701237,44.3061628
"43",181,"Black","Hugo","Lafayette",1886,"Clay County","AL","M","White","University of Alabama School of Law","Clay County, AL","Black, Hugo",1880,-85.8486236,33.279527
"44",182,"Black","Lloyd","Llewellyn",1889,"Leavenworth","KS","M","White","University of Washington","Leavenworth, KS","Black, Lloyd",1880,-94.9224637,39.3111112
"45",3330,"Bland","Oscar","Edward",1877,"near Bloomfield","IN","M","White","Northern Indiana Normal School (now Valparaiso University)","near Bloomfield, IN","Bland, Oscar",1870,-86.9375068,39.0269903
"46",194,"Bledsoe","Benjamin","Franklin",1874,"San Bernardino","CA","M","White","Stanford University","San Bernardino, CA","Bledsoe, Benjamin",1870,-117.2897652,34.1083449
"47",200,"Bodine","Joseph","Lamb",1883,"Trenton","NJ","M","White","Princeton University","Trenton, NJ","Bodine, Joseph",1880,-74.7429384,40.2170534
"48",207,"Bondy","William"," ",1870,"New York","NY","M","White","Columbia College","New York, NY","Bondy, William",1870,-74.0059413,40.7127837
"49",208,"Bone","Homer","Truett",1883,"Franklin","IN","M","White","Tacoma Law School","Franklin, IN","Bone, Homer",1880,-86.0549863,39.4806055
"50",3274,"Booth","Fenton","Whitlock",1869,"Marshall","IL","M","White","DePauw University","Marshall, IL","Booth, Fenton",1860,-87.6936384,39.3914252
"51",214,"Borah","Wayne","G.",1891,"Baldwin","LA","M","White","Louisiana State University Law School","Baldwin, LA","Borah, Wayne",1890,-91.5442793,29.8379836
"52",215,"Boreman","Herbert","Stephenson",1897,"Middlebourne","WV","M","White","West Virginia University College of Law","Middlebourne, WV","Boreman, Herbert",1890,-80.9037181,39.4922999
"53",220,"Bourquin","George","M.",1863,"Warren County","PA","M","White","Read law","Warren County, PA","Bourquin, George",1860,-79.2902133,41.8143331
"54",222,"Bowen","John","Clyde",1888,"Newbern","TN","M","White","University of Tennessee","Newbern, TN","Bowen, John",1880,-89.2617368,36.1128479
"55",233,"Boynton","Charles","Albert",1867,"Quebec","Canada","M","White","Glasgow Normal School (now University of Western Kentucky)","Quebec, Canada","Boynton, Charles",1860,-73.5491361,52.9399159
"56",241,"Brandeis","Louis","Dembitz",1856,"Louisville","KY","M","White","Harvard Law School","Louisville, KY","Brandeis, Louis",1850,-85.7584557,38.2526647
"57",244,"Bratton","Sam","Gilbert",1888,"Kosse","TX","M","White","Read law","Kosse, TX","Bratton, Sam",1880,-96.6319231,31.3076774
"58",248,"Brennan","Stephen","W.",1893,"Clinton","NY","M","White","Albany Law School","Clinton, NY","Brennan, Stephen",1890,-75.3785034,43.0484029
"59",252,"Brewster","Elisha","Hume",1871,"Worthington","MA","M","White","Boston University School of Law","Worthington, MA","Brewster, Elisha",1870,-72.9356536,42.3973092
"60",257,"Briggle","Charles","Guy",1883,"Rushville","IL","M","White","University of Illinois College of Law","Rushville, IL","Briggle, Charles",1880,-90.5631829,40.1211577
"61",258,"Bright","John"," ",1884,"Middletown","NY","M","White","Read law","Middletown, NY","Bright, John",1880,-74.4229341,41.4459271
"62",266,"Broaddus","Bower","Slack",1888,"Chillicothe","MO","M","White","Kansas City School of Law (now University of Missouri-Kansas City School of Law)","Chillicothe, MO","Broaddus, Bower",1880,-93.5524358,39.7952946
"63",281,"Brown","Arthur","Lewis",1854,"Providence","RI","M","White","Brown University","Providence, RI","Brown, Arthur",1850,-71.4128343,41.8239891
"64",3303,"Brown","George","Stewart",1871,"Baltimore","MD","M","White","Johns Hopkins University","Baltimore, MD","Brown, George",1870,-76.6121893,39.2903848
"65",288,"Brown","Robert","Lewis",1892,"Phillipsburg","MT","M","White","University of Montana School of Law","Phillipsburg, MT","Brown, Robert",1890,-113.2944165,46.332506
"66",293,"Bruchhausen","Walter"," ",1892,"Brooklyn","NY","M","White","New York University School of Law","Brooklyn, NY","Bruchhausen, Walter",1890,-73.9441579,40.6781784
"67",295,"Bryan","Albert","Vickers",1899,"Alexandria","VA","M","White","University of Virginia School of Law","Alexandria, VA","Bryan, Albert",1890,-77.0469214,38.8048355
"68",299,"Bryan","Nathan","Philemon",1872,"Fort Mason","FL","M","White","Emory College","Fort Mason, FL","Bryan, Nathan",1870,-81.699205,28.872808
"69",302,"Bryant","Frederick","Howard",1877,"Lincoln","VT","M","White","Middlebury College","Lincoln, VT","Bryant, Frederick",1870,-72.9970612,44.1058928
"70",303,"Bryant","Randolph"," ",1893,"Sherman","TX","M","White","University of Texas","Sherman, TX","Bryant, Randolph",1890,-96.6088805,33.6356618
"71",313,"Buffington","Joseph"," ",1855,"Kittanning","PA","M","White","Trinity College, Hartford, Connecticut","Kittanning, PA","Buffington, Joseph",1850,-79.5219893,40.816453
"72",321,"Burke","Harold","P.",1895,"Rochester","NY","M","White","Notre Dame Law School","Rochester, NY","Burke, Harold",1890,-77.6109219,43.16103
"73",325,"Burns","Louis","Henry",1878,"New Orleans","LA","M","White","Tulane University Law School","New Orleans, LA","Burns, Louis",1870,-90.0715323,29.9510658
"74",326,"Burns","Owen","McIntosh",1892,"Danville","IL","M","White","University of Illinois","Danville, IL","Burns, Owen",1890,-87.6300207,40.124481
"75",327,"Burns","Waller","Thomas",1858,"La Grange","TX","M","White",,"La Grange, TX","Burns, Waller",1850,-96.876647,29.9055033
"76",330,"Burrows","Warren","Booth",1877,"Poquonock Bridge","CT","M","White","University of Michigan Law School","Poquonock Bridge, CT","Burrows, Warren",1870,-72.0247969,41.3450986
"77",331,"Burton","Harold","Hitz",1888,"Jamaica Plain","MA","M","White","Bowdoin College","Jamaica Plain, MA","Burton, Harold",1880,-71.1151431,42.3097365
"78",335,"Butler","Pierce"," ",1866,"Dakota County","MN","M","White","Carleton College","Dakota County, MN","Butler, Pierce",1860,-93.1779659,44.731554
"79",338,"Byers","Mortimer","W.",1877,"Brooklyn","NY","M","White","Columbia Law School","Brooklyn, NY","Byers, Mortimer",1870,-73.9441579,40.6781784
"80",340,"Byrne","William","Matthew",1896,"Bakersfield","CA","M","White","Loyola Law School, Los Angeles, California","Bakersfield, CA","Byrne, William",1890,-119.0187125,35.3732921
"81",342,"Byrnes","James","Francis",1882,"Charleston","SC","M","White","Read law","Charleston, SC","Byrnes, James",1880,-79.9310512,32.7764749
"82",347,"Caffey","Francis","Gordon",1868,"Gordonsville","AL","M","White","Howard College (now Samford University)","Gordonsville, AL","Caffey, Francis",1860,-86.714338,32.152335
"83",351,"Caillouet","Adrian","Joseph",1883,"Thibodaux","LA","M","White","St. Mary`s College, Kentucky","Thibodaux, LA","Caillouet, Adrian",1880,-90.822871,29.7957633
"84",356,"Call","Rhydon","Mays",1858,"Fernandina","FL","M","White","Washington and Lee University School of Law","Fernandina, FL","Call, Rhydon",1850,-81.4638448,30.6676712
"85",359,"Cameron","Benjamin","Franklin",1890,"Meridian","MS","M","White","University of the South","Meridian, MS","Cameron, Benjamin",1890,-88.703656,32.3643098
"86",3236,"Campbell","Edward","Kernan",1858,"Abingdon","VA","M","White","Emory and Henry College","Abingdon, VA","Campbell, Edward",1850,-81.9773482,36.7098335
"87",364,"Campbell","Marcus","Beach",1866,"Newark","NJ","M","White","New York University School of Law","Newark, NJ","Campbell, Marcus",1860,-74.1723667,40.735657
"88",365,"Campbell","Ralph","E.",1867,"Butler County","PA","M","White","Northern Indiana Normal School (now Valparaiso University)","Butler County, PA","Campbell, Ralph",1860,-79.8296743,40.9115243
"89",372,"Cant","William","Alexander",1863,"Westfield, Marquette County","WI","M","White","University of Michigan Law School","Westfield, Marquette County, WI","Cant, William",1860,-89.4934393,43.8835948
"90",374,"Cardozo","Benjamin","Nathan",1870,"New York","NY","M","White","Columbia College","New York, NY","Cardozo, Benjamin",1870,-74.0059413,40.7127837
"91",375,"Carland","John","Emmett",1853,"Oswego County","NY","M","White","University of Michigan","Oswego County, NY","Carland, John",1850,-76.1783739,43.482533
"92",379,"Carpenter","George","Albert",1867,"Chicago","IL","M","White","Harvard University","Chicago, IL","Carpenter, George",1860,-87.6297982,41.8781136
"93",395,"Cashin","John","M.",1892,"Kingston","NY","M","White","Cornell University Department of Law","Kingston, NY","Cashin, John",1890,-73.9973608,41.9270367
"94",403,"Cavanah","Charles","Cheatham",1871,"Greensboro","NC","M","White",,"Greensboro, NC","Cavanah, Charles",1870,-79.7919754,36.0726354
"95",405,"Cecil","Lester","LeFevre",1893,"Miami County","OH","M","White","University of Michigan Law School","Miami County, OH","Cecil, Lester",1890,-84.1857115,40.081473
"96",410,"Chandler","Stephen","Sanders",1899,"Blount County","TN","M","White","University of Kansas School of Law","Blount County, TN","Chandler, Stephen",1890,-83.8473015,35.6710541
"97",413,"Chase","Harrie","Brigham",1889,"Whitingham","VT","M","White","Dartmouth College","Whitingham, VT","Chase, Harrie",1880,-72.885098,42.7892488
"98",417,"Chatfield","Thomas"," ",1871,"Oswego","NY","M","White","Yale College","Oswego, NY","Chatfield, Thomas",1870,-76.5104973,43.4553461
"99",2714,"Cheney","John","Moses",1859,"Milwaukee","WI","M","White","Boston University School of Law","Milwaukee, WI","Cheney, John",1850,-87.9064736,43.0389025
"100",419,"Chesnut","William","Calvin",1873,"Baltimore","MD","M","White","Johns Hopkins University","Baltimore, MD","Chesnut, William",1870,-76.6121893,39.2903848
"101",423,"Choate","Emett","Clay",1891,"Columbus","OH","M","White","Indiana University School of Law -- Bloomington (now Maurer School of Law)","Columbus, OH","Choate, Emett",1890,-82.9987942,39.9611755
"102",427,"Christenberry","Herbert","William",1897,"New Orleans","LA","M","White","Loyola University New Orleans School of Law","New Orleans, LA","Christenberry, Herbert",1890,-90.0715323,29.9510658
"103",2780,"Clabaugh","Harry","M.",1856,"Cumberland","MD","M","White","University of Maryland School of Law","Cumberland, MD","Clabaugh, Harry",1850,-78.7625185,39.6528654
"104",434,"Clancy","John","William",1899,"New York","NY","M","White","Fordham College","New York, NY","Clancy, John",1890,-74.0059413,40.7127837
"105",436,"Clark","Bennett","Champ",1890,"Bowling Green","MO","M","White","University of Missouri","Bowling Green, MO","Clark, Bennett",1890,-91.1951437,39.3419891
"106",439,"Clark","Charles","Edward",1889,"Woodbridge","CT","M","White","Yale College","Woodbridge, CT","Clark, Charles",1880,-73.0084385,41.352597
"107",440,"Clark","Chase","Addison",1883,"Hadley","IN","M","White","University of Michigan","Hadley, IN","Clark, Chase",1880,-86.604263,39.728554
"108",444,"Clark","Tom","C.",1899,"Dallas","TX","M","White","University of Texas","Dallas, TX","Clark, Tom",1890,-96.8004511,32.7801399
"109",445,"Clark","William"," ",1891,"Newark","NJ","M","White","Harvard University","Newark, NJ","Clark, William",1890,-74.1723667,40.735657
"110",446,"Clarke","John","Hessin",1857,"New Lisbon","OH","M","White","Western Reserve College (now Case Western Reserve University)","New Lisbon, OH","Clarke, John",1850,-80.846445,40.7845526
"111",449,"Clary","Thomas","James",1899,"Seneca Falls","NY","M","White","Cornell University","Seneca Falls, NY","Clary, Thomas",1890,-76.7966215,42.9106219
"112",452,"Clayton","Henry","De Lamar",1857,"Barbour County","AL","M","White","University of Alabama","Barbour County, AL","Clayton, Henry",1850,-85.354965,31.8172896
"113",458,"Cliffe","Adam","C.",1869,"Sycamore","IL","M","White","Northwestern University School of Law","Sycamore, IL","Cliffe, Adam",1860,-88.6867538,41.9889173
"114",459,"Clifford","John","David",1887,"Lewiston","ME","M","White","Bowdoin College","Lewiston, ME","Clifford, John",1880,-70.2147764,44.100351
"115",3298,"Cline","Genevieve","Rose",1877,"Warren","OH","F","White","Baldwin-Wallace College","Warren, OH","Cline, Genevieve",1870,-80.8184166,41.2375569
"116",463,"Cochran","Andrew","McConnell January",1854,"Maysville","KY","M","White","Centre College","Maysville, KY","Cochran, Andrew",1850,-83.744365,38.6411854
"117",464,"Cochran","Ernest","Ford",1865,"Anderson","SC","M","White","University of Virginia School of Law","Anderson, SC","Cochran, Ernest",1860,-82.6501332,34.5034394
"118",3299,"Cole","William","Purrington",1889,"Towson","MD","M","White","Maryland Agricultural College (now University of Maryland)","Towson, MD","Cole, William",1880,-76.6019125,39.4014955
"119",474,"Coleman","Frank","Joseph",1886,"New York","NY","M","White","City College of New York","New York, NY","Coleman, Frank",1880,-74.0059413,40.7127837
"120",476,"Coleman","William","Caldwell",1884,"Louisville","KY","M","White","Harvard University","Louisville, KY","Coleman, William",1880,-85.7584557,38.2526647
"121",477,"Collet","John","Caskie",1898,"Keytesville","MO","M","White","Read law","Keytesville, MO","Collet, John",1890,-92.9382485,39.4344706
"122",488,"Conger","Abraham","Benjamin",1887,"Tift County","GA","M","White","Mercer University","Tift County, GA","Conger, Abraham",1880,-83.5496566,31.4205597
"123",489,"Conger","Edward","A.",1882,"Poughkeepsie","NY","M","White","New York University School of Law","Poughkeepsie, NY","Conger, Edward",1880,-73.9209701,41.7003713
"124",494,"Connell","James","C.",1897,"Cleveland","OH","M","White","John Marshall School of Law (now Cleveland-Marshall College of Law)","Cleveland, OH","Connell, James",1890,-81.6943605,41.49932
"125",497,"Connor","Aloysius","Joseph",1895,"Manchester","NH","M","White","Catholic University of America, Columbus School of Law","Manchester, NH","Connor, Aloysius",1890,-71.4547891,42.9956397
"126",495,"Connor","Henry","Groves",1852,"Wilmington","NC","M","White","Read law","Wilmington, NC","Connor, Henry",1850,-77.9447102,34.2257255
"127",506,"Cooper","Frank"," ",1869,"Glenville","NY","M","White","Union College","Glenville, NY","Cooper, Frank",1860,-74.0520717,42.9292419
"128",512,"Cosgrave","George"," ",1870,"Calaveras County","CA","M","White","Read law","Calaveras County, CA","Cosgrave, George",1870,-120.6805037,38.1960477
"129",515,"Cotteral","John","Hazelton",1864,"Middletown","IN","M","White","University of Michigan","Middletown, IN","Cotteral, John",1860,-85.537197,40.0572668
"130",518,"Covington","James","Harry",1870,"Talbot County","MD","M","White","University of Pennsylvania Law School","Talbot County, MD","Covington, James",1870,-76.1319953,38.7803973
"131",521,"Cox","Elijah","Allen",1887,"Baldwin","MS","M","White","Vanderbilt University","Baldwin, MS","Cox, Elijah",1880,-88.6353313,34.509544
"132",523,"Cox","Joseph","Winston",1875,"Bridle Creek","VA","M","White","Columbian University School of Law (now George Washington University Law School)","Bridle Creek, VA","Cox, Joseph",1870,-81.2614504,36.6470165
"133",528,"Coxe","Alfred","Conkling",1880,"Utica","NY","M","White","Yale University","Utica, NY","Coxe, Alfred",1880,-75.232664,43.100903
"134",550,"Cushman","Edward","E.",1865,"Columbus Junction, Louisiana County","IA","M","White","Read law, Iowa","Columbus Junction, Louisiana County, IA","Cushman, Edward",1860,-93.097702,41.8780025
"135",3318,"Dallinger","Fredrick","William",1871,"Cambridge","MA","M","White","Harvard College","Cambridge, MA","Dallinger, Fredrick",1870,-71.1097335,42.3736158
"136",557,"Danaher","John","Anthony",1899,"Meriden","CT","M","White","Yale University","Meriden, CT","Danaher, John",1890,-72.8070435,41.5381535
"137",561,"Darr","Leslie","Rogers",1886,"Jasper","TN","M","White","Cumberland School of Law","Jasper, TN","Darr, Leslie",1880,-85.6260789,35.0742448
"138",565,"Davidson","Thomas","Whitfield",1876,"Harrison County","TX","M","White","Read law","Harrison County, TX","Davidson, Thomas",1870,-94.315422,32.5539228
"139",566,"Davies","Elmer","David",1899,"Magnolia","AR","M","White","Vanderbilt University Law School","Magnolia, AR","Davies, Elmer",1890,-93.239334,33.2670725
"140",572,"Davis","Charles","B.",1877,"Hannibal","MO","M","White","University of Missouri","Hannibal, MO","Davis, Charles",1870,-91.3584816,39.7083789
"141",574,"Davis","David","Jackson",1878,"Weedowee","AL","M","White","Yale Law School","Weedowee, AL","Davis, David",1870,-85.484675,33.3090047
"142",578,"Davis","John","Warren",1867,"Elizabeth City","NC","M","White","Bucknell University","Elizabeth City, NC","Davis, John",1860,-76.2510461,36.2946008
"143",3265,"Davis","John"," ",1851,"Newton","MA","M","White","Heidelberg University, Germany","Newton, MA","Davis, John",1850,-71.2092214,42.3370413
"144",580,"Davis","Thomas","Hoyt",1892,"Braselton","GA","M","White","Mercer University","Braselton, GA","Davis, Thomas",1890,-83.7626729,34.1092735
"145",582,"Dawkins","Benjamin","Cornwell",1881,"Ouachita City","LA","M","White","Tulane University Law School","Ouachita City, LA","Dawkins, Benjamin",1880,-92.080802,32.7256259
"146",584,"Dawson","Archie","Owen",1898,"Pomfret","CT","M","White","Columbia University","Pomfret, CT","Dawson, Archie",1890,-71.9625736,41.8975977
"147",585,"Dawson","Charles","I.",1881,"Logan County","KY","M","White","University of Kentucky","Logan County, KY","Dawson, Charles",1880,-86.8621827,36.869834
"148",587,"Day","William","Louis",1876,"Canton","OH","M","White","Williston Seminary (now Williston Northampton School)","Canton, OH","Day, William",1870,-81.378447,40.7989473
"149",589,"Dayton","Alston","Gordon",1857,"Philippi","VA (now WV)","M","White","West Virginia University","Philippi, VA (now WV)","Dayton, Alston",1850,-78.6568942,37.4315734
"150",3319,"De Vries","Marion"," ",1865,"near Woodbridge","CA","M","White","San Joaquin Valley College","near Woodbridge, CA","De Vries, Marion",1860,-121.300859,38.1539723
"151",594,"Deaver","Bascom","Sine",1882,"Union County","GA","M","White","Mercer University","Union County, GA","Deaver, Bascom",1880,-83.9744262,34.8457601
"152",599,"Delehant","John","Wayne",1890,"Goodland","KS","M","White","Creighton University","Goodland, KS","Delehant, John",1890,-101.7101722,39.350833
"153",602,"Denison","Arthur","Carter",1861,"Grand Rapids","MI","M","White","University of Michigan","Grand Rapids, MI","Denison, Arthur",1860,-85.6680863,42.9633599
"154",603,"Denman","William"," ",1872,"San Francisco","CA","M","White","University of California, Berkeley","San Francisco, CA","Denman, William",1870,-122.4194155,37.7749295
"155",606,"DeVane","Dozier","Adolphus",1883,"near Lakeland","FL","M","White","Washington and Lee University School of Law","near Lakeland, FL","DeVane, Dozier",1880,-81.9498042,28.0394654
"156",609,"Dewey","Charles","Almon",1877,"Washington","IA","M","White","University of Iowa College of Law","Washington, IA","Dewey, Charles",1870,-91.6916417,41.3014077
"157",616,"Dickinson","Oliver","Booth",1857,"Dayton","OH","M","White","Bucknell University","Dayton, OH","Dickinson, Oliver",1850,-84.1916069,39.7589478
"158",619,"Dietrich","Frank","Sigel",1863,"Franklin County","KS","M","White","Brown University","Franklin County, KS","Dietrich, Frank",1860,-95.3102505,38.6165913
"159",623,"Dimock","Edward","Jordan",1890,"Elizabeth","NJ","M","White","Yale College","Elizabeth, NJ","Dimock, Edward",1890,-74.2107006,40.6639916
"160",626,"Dobie","Armistead","Mason",1881,"Norfolk","VA","M","White","University of Virginia","Norfolk, VA","Dobie, Armistead",1880,-76.2858726,36.8507689
"161",630,"Donahue","Maurice","H.",1864,"Monroe","OH","M","White","Read law","Monroe, OH","Donahue, Maurice",1860,-84.3621634,39.440336
"162",3296,"Donlon","Mary","Honor",1893,"Utica","NY","F","White","Cornell University Department of Law","Utica, NY","Donlon, Mary",1890,-75.232664,43.100903
"163",632,"Donohoe","James","A.",1877,"O`Neill","NE","M","White","Fremont Normal College (now Midland University)","O`Neill, NE","Donohoe, James",1870,-98.6478882,42.4576723
"164",633,"Donovan","Dennis","Francis",1889,"Champion","MI","M","White","University of Michigan Law School","Champion, MI","Donovan, Dennis",1880,-87.9634679,46.5138246
"165",634,"Donworth","George"," ",1861,"Machias","ME","M","White","Georgetown College (now Georgetown University)","Machias, ME","Donworth, George",1860,-67.461376,44.7150789
"166",635,"Dooley","Joseph","Brannon",1889,"San Angelo","TX","M","White","University of Texas School of Law","San Angelo, TX","Dooley, Joseph",1880,-100.4370375,31.4637723
"167",637,"Dooling","Maurice","Timothy",1860,"Moore`s Flat","CA","M","White","St. Mary`s College of California","Moore`s Flat, CA","Dooling, Maurice",1860,-120.850833,39.419167
"168",640,"Douglas","William","Orville",1898,"Maine","MN","M","White","Whitman College","Maine, MN","Douglas, William",1890,-95.8172718,46.412182
"169",3239,"Downey","George","Eddy",1860,"Rising Sun","IN","M","White","Indiana Asbury University (now DePauw University)","Rising Sun, IN","Downey, George",1860,-84.853838,38.9495047
"170",648,"Driver","Samuel","Marion",1892,"Wamic","OR","M","White","University of Washington School of Law","Wamic, OR","Driver, Samuel",1890,-121.2692327,45.2281727
"171",649,"Druffel","John","H.",1886,"Cincinnatti","OH","M","White","YMCA Law School (now Northern Kentucky University, Chase College of Law)","Cincinnatti, OH","Druffel, John",1880,-84.5120196,39.1031182
"172",654,"Duell","Charles","Holland",1850,"Cortland","NY","M","White","Hamilton College","Cortland, NY","Duell, Charles",1850,-76.1804843,42.6011813
"173",656,"Duffy","Francis","Ryan",1888,"Fond du Lac","WI","M","White","University of Wisconsin","Fond du Lac, WI","Duffy, Francis",1880,-88.4470508,43.7730448
"174",662,"Duncan","Richard","M.",1889,"St. Joseph","MO","M","White","Read law","St. Joseph, MO","Duncan, Richard",1880,-94.846681,39.7674578
"175",3269,"Durfee","James","Randall",1897,"Oshkosh","WI","M","White","Marquette University Law School","Oshkosh, WI","Durfee, James",1890,-88.5426136,44.0247062
